"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
00291f0e-db71-45f9-b256-110615e9f270,06da48ab-f4f5-4606-8eeb-216493218154,"#N/A",(02) 6052 6150,"#N/A",Operations,"#N/A",jmanningcongagdo+838@gmail.com,"#N/A",(02) 6052 6150,Elbertine,"#N/A","#N/A",Hagan,"#N/A",North Sydney,Australia,"#N/A","#N/A","#N/A",2060,NSW,54 McLaren Street,0429 888 809,North Sydney,Australia,"#N/A","#N/A","#N/A","#N/A",2060,NSW,54 McLaren Street,(02) 6052 6150,"#N/A","#N/A","VP, Consulting",Prodly,"#N/A","#N/A",false,false
005991eb-2e5f-4763-af3b-261685f0e18f,f21e4041-1c45-4923-9886-949339e5d3d9,"#N/A",(03) 6509 6659,"#N/A",Operations,"#N/A",jmanningcongagdo+5@gmail.com,"#N/A",(03) 6509 6659,Roshelle,"#N/A","#N/A",Eziechiele,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,0422 284 793,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,200 Elizabeth Street,(03) 6509 6659,"#N/A","#N/A","VP, Facilities",Prodly,"#N/A","#N/A",false,false
005aec57-4841-4c0d-99bc-e19fe2029b2d,068f7e69-1422-4e2e-bfb6-d80d9c12ba4a,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+387@gmail.com,"#N/A","#N/A",Aurie,"#N/A","#N/A",Clare,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(705) 406-7394,"#N/A","#N/A",CHRO,Prodly,"#N/A","#N/A",false,false
00744735-8cfb-41b5-8942-7767ec42a1a5,ea447ddb-0bf6-4a31-a3cd-500ada9622aa,"#N/A","#N/A",1974-07-13,"#N/A","Meg McCarthy is Executive Vice President, Operations and Technology. She is responsible for information technology, service operations and global security for Aetna. She is a member of Aetna’s Executive Committee, the senior governing body of the company, reporting directly to Aetna's Chairman and CEO Mark T. Bertolini.",jmanningcongagdo+450@gmail.com,"#N/A","#N/A",Melanie,"#N/A","#N/A",Baron,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(252) 525-1579,"#N/A","#N/A","EVP, Ops and Technology",Prodly,"#N/A","#N/A",false,false
01a18cb6-4f64-4009-bb43-7f69b6ab251c,15b6d984-9766-4a97-95e4-c46418d6da1c,"#N/A","#N/A","#N/A","#N/A","Gail K. Boudreaux is the President and Chief Executive Officer of Anthem, Inc., a Fortune 50 company and leading health benefits provider, serving more than 40 million consumers—or one in eight Americans—through its affiliated health plans. In total, Anthem serves over 73 million individuals across 27 states through its broad portfolio of health insurance and services subsidiaries, including Amerigroup, Anthem Blue Cross and Blue Shield health plans, CareMore, and Simply Healthcare.",jmanningcongagdo+401@gmail.com,"#N/A","#N/A",Rakel,"#N/A","#N/A",Jules,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(637) 454-9343,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
01b2071b-c153-4222-b82d-8992cdae1c84,d9ed6b1e-63f7-478b-8058-c585c39e84ea,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+200@gmail.com,"#N/A","#N/A",Evaleen,"#N/A","#N/A",Erroll,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0107,"#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
01bc8878-6367-4fce-b51c-ac599059b96d,37b6bee9-ba21-465d-b17a-2f0c22c09a0c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+659@gmail.com,"#N/A","#N/A",Orsola,"#N/A","#N/A",Barret,"#N/A",CARODA,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2347,"#N/A","#N/A",(03) 5338 3985,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0211b484-61cf-40e3-b275-dee98d9d7cdb,a71cb0f1-98d9-4ea7-8e74-3b4bb3374d9a,"#N/A","#N/A",1979-03-12,"#N/A","Originally from Washington, D.C., Andrew Swiger earned a Bachelor of Science degree in petroleum engineering from the Colorado School of Mines, prior to joining the company in 1978 as an operations engineer in Morgan City, Louisiana.",jmanningcongagdo+591@gmail.com,"#N/A","#N/A",Nalani,"#N/A","#N/A",Ignace,"#N/A",Arlington,USA,"#N/A","#N/A","#N/A",76011,TX,1 AT&T Way,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(744) 238-8272,"#N/A","#N/A",SVP and Principal Financial Officer,Prodly,"#N/A","#N/A",false,false
02167339-3651-4f03-a5ee-f20ce2229505,2ec980da-f689-44ae-956d-0f22c1a200b3,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+632@gmail.com,"#N/A","#N/A",Miguela,"#N/A","#N/A",Osmund,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
02ae8104-d339-4b3b-80fe-31fe2bf804c9,43a0b22f-ff3a-4f23-bbcb-02e25f9973f9,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+576@gmail.com,"#N/A","#N/A",Caryl,"#N/A","#N/A",Jakob,"#N/A",KALANG,Australia,"#N/A","#N/A","#N/A","#N/A",NSW,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",2454,"#N/A","#N/A",(03) 5338 3958,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
02b28b4b-a3ac-4753-8b16-f838f2b1777f,6af3732e-508c-47fa-bd6d-1a8620d2ef95,"#N/A","#N/A","#N/A","#N/A","Marc R. Benioff is chairman and CEO of salesforce.com. He founded the company in March 1999 with the idea to create an information utility that would make traditional enterprise software technology and business models obsolete. A veteran of 25 years in the software industry, he is now regarded as a pioneer of ""The End Of Software,"" demonstrating how on-demand applications can replace traditional software to deliver immediate benefit at reduced risk. In May 2003, Benioff was appointed by President George W. Bush as co-chair of the President's Information Technology Advisory Committee (PITAC), a bi-partisan organization of business leaders and academics charged to advise The President on how to maintain the United States' preeminent position in information technology.",info@salesforce.com,"#N/A",(415) 901-7040,Marc,"#N/A","#N/A",Benioff,"#N/A",San Francisco,USA,"#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300","#N/A",San Francisco,USA,"#N/A","#N/A","#N/A","#N/A",94105,CA,"The Landmark @ One Market, Suite 300",(415) 901-7000,"#N/A",Mr.,Executive Officer,"#N/A","#N/A","#N/A",false,false
03076693-3e75-4858-a762-ace1ddcebd68,300e6640-8de8-42da-b0ec-beec16d5a43b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+70@gmail.com,"#N/A","#N/A",Patti,"#N/A","#N/A",Grantham,"#N/A",London,UK,"#N/A","#N/A","#N/A",SW6 0EP,"#N/A",39 Crown Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",077 6365 8742,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
03603782-23d9-41cf-b91a-284ec6f839c8,9c080cfa-4141-496d-b833-49bb8d8a1648,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+413@gmail.com,"#N/A","#N/A",Mikaela,"#N/A","#N/A",Frans,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(741) 456-5110,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0439dfc2-1482-49ab-91b3-b49562ca4523,d1e9715a-1023-46f0-bbe8-e0648f6195f6,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+209@gmail.com,"#N/A","#N/A",Melva,"#N/A","#N/A",Alex,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(276)956-8748,"#N/A","#N/A",CTO,Prodly,"#N/A","#N/A",false,false
046a1c26-50d2-4a92-b96e-1094450c8e92,7bde0149-7327-4349-b6ca-9bcca338d7b5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+479@gmail.com,"#N/A","#N/A",Gipsy,"#N/A","#N/A",Paten,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
046e53a1-7ede-442a-9a9f-d7e815027ad0,4c9dd4dc-82b5-4938-b339-40556085611f,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+156@gmail.com,"#N/A","#N/A",Rowena,"#N/A","#N/A",Grenville,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(525) 695-8965,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
04be8bd5-5dc4-4695-a100-16bdc1a88433,78580c8b-e189-49a2-a0e5-642a2512aac7,"#N/A","#N/A","#N/A","#N/A","Susan began her career in Albertsons Denver Division while still in high school and worked her way up in the ranks proving her ability to lead, to execute and to bring teams together in one assignment after another in her 30+ years in the retail grocery business. Since March of 2015, Susan has led the Denver Division team after having successfully led our Boise-based Intermountain Division for the two prior years.",jmanningcongagdo+184@gmail.com,"#N/A","#N/A",Arlana,"#N/A","#N/A",Mortimer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(633) 209-5550,"#N/A","#N/A",EVP Retail Operations,Prodly,"#N/A","#N/A",false,false
